Episode,Steps,TotalReward,ActorLoss,CriticLoss,MeanValue,ValueStd,MeanReturn,ClipFraction
4512,89,30.56,-0.0329,0.0550,-14.88,10.19,-22.88,0.0000
4528,90,-39.92,-0.0231,0.0723,5.22,8.56,18.23,0.0000
4544,171,-34.33,-0.0252,0.0753,-10.31,10.50,-18.21,0.0000
4560,140,27.68,-0.0280,0.0630,4.22,30.62,13.98,0.0000
4576,117,23.23,-0.0291,0.0511,-4.25,16.50,-20.25,0.0000
4592,90,-2.42,-0.0375,0.0500,0.09,13.38,-31.65,0.0000
4608,89,-25.07,-0.0362,0.0496,12.88,12.75,11.55,0.0000
4624,100,13.80,-0.0335,0.0468,2.95,5.66,14.80,0.0000
4640,78,20.86,-0.0312,0.0468,14.06,10.19,8.87,0.0000
4656,106,18.11,-0.0351,0.0502,6.72,10.38,16.00,0.0000
4672,90,1.21,-0.0309,0.0526,32.25,31.12,16.87,0.0000
4688,75,9.23,-0.0394,0.0472,1.60,7.38,-4.96,0.0000
4704,74,-47.67,-0.0333,0.0712,19.75,9.69,22.05,0.0000
4720,76,-6.09,-0.0489,0.0529,0.31,8.62,-4.58,0.0000
4736,104,-15.56,-0.0389,0.0523,-7.88,22.12,-21.21,0.0000
4752,113,-6.26,-0.0324,0.0529,4.84,23.88,4.59,0.0000
4768,94,1.11,-0.0483,0.0427,-4.97,10.69,-0.65,0.0000
4784,100,-0.43,-0.0081,0.0502,-15.00,4.38,-3.29,0.0000
4800,72,-16.88,-0.0413,0.0489,23.00,15.19,24.41,0.0000
4816,93,-7.54,-0.0375,0.0566,-2.69,16.50,4.19,0.0000
4832,98,-16.76,-0.0332,0.0517,-3.41,15.00,-8.54,0.0000
4848,101,-23.93,-0.0296,0.0592,-16.50,9.31,-28.45,0.0000
4864,124,6.96,-0.0230,0.0460,-6.41,15.88,5.39,0.0000
4880,83,-10.75,-0.0354,0.0487,14.31,5.53,17.17,0.0000
4896,105,-5.54,-0.0252,0.0661,2.31,7.00,11.30,0.0000
4912,107,-6.04,-0.0420,0.0500,17.38,11.75,24.98,0.0000
4928,93,-0.76,-0.0423,0.0577,2.03,12.56,5.04,0.0000
4944,94,-64.18,-0.0357,0.0733,-12.88,8.00,-2.53,0.0000
4960,111,-2.97,-0.0292,0.0638,-18.12,17.88,-12.78,0.0000
4976,110,-14.97,-0.0384,0.0611,-12.75,13.12,-3.44,0.0000
4992,106,7.32,-0.0350,0.0448,15.12,17.50,16.14,0.0000
5008,116,17.64,-0.0278,0.0577,-5.47,19.00,6.64,0.0000
5024,91,40.00,-0.0244,0.0485,15.06,24.50,0.54,0.0000
5040,91,6.41,-0.0388,0.0449,21.62,9.75,19.13,0.0000
5056,83,5.94,-0.0388,0.0598,10.69,9.44,10.52,0.0000
5072,90,-4.88,-0.0307,0.0628,9.44,14.75,9.40,0.0000
5088,92,-33.73,-0.0332,0.0617,17.25,4.72,18.22,0.0000
5104,113,-35.70,-0.0401,0.0686,4.84,9.62,11.05,0.0000
5120,151,-4.92,-0.0296,0.0630,18.00,14.06,26.44,0.0000
5136,89,-56.64,-0.0433,0.0623,-1.02,5.59,-43.22,0.0000
5152,147,21.85,-0.0361,0.0555,-6.66,8.56,-3.93,0.0000
5168,117,-76.89,-0.0208,0.0688,7.88,10.12,-30.23,0.0000
5184,104,0.78,-0.0356,0.0497,-23.62,6.47,-23.13,0.0000
5200,133,-9.85,-0.0303,0.0546,12.44,8.19,15.28,0.0000
5216,125,-24.71,-0.0265,0.0709,5.31,10.81,12.57,0.0000
5232,154,25.50,-0.0354,0.0567,-6.38,10.56,3.54,0.0000
5248,166,55.52,-0.0355,0.0509,-1.70,12.38,5.16,0.0000
5264,112,16.50,-0.0282,0.0501,-24.50,10.12,-35.26,0.0000
5280,123,-26.59,-0.0324,0.0640,16.38,10.56,20.73,0.0000
5296,98,45.19,-0.0264,0.0545,18.88,23.38,30.13,0.0000
5312,84,12.17,-0.0280,0.0542,22.62,11.75,30.08,0.0000
5328,107,32.71,-0.0297,0.0443,-4.59,7.59,-2.34,0.0000
5344,127,3.74,-0.0291,0.0512,11.00,12.81,16.36,0.0000
5360,120,40.89,-0.0288,0.0510,15.44,10.56,18.00,0.0000
5376,158,65.63,-0.0259,0.0459,18.38,15.25,28.71,0.0000
5392,110,18.64,-0.0272,0.0486,31.50,11.56,31.32,0.0000
5408,119,59.68,-0.0290,0.0452,27.38,10.25,25.19,0.0000
5424,126,-3.13,-0.0204,0.0534,6.69,10.75,-3.17,0.0000
5440,90,20.55,-0.0302,0.0602,19.12,19.25,27.05,0.0000
5456,96,35.38,-0.0292,0.0457,36.25,13.25,40.67,0.0000
5472,136,11.03,-0.0379,0.0556,25.25,17.25,31.46,0.0000
5488,121,55.72,-0.0394,0.0452,25.75,20.38,27.00,0.0000
5504,78,14.76,-0.0345,0.0482,40.00,12.50,30.44,0.0000
5520,97,16.14,-0.0374,0.0505,21.62,12.69,28.54,0.0000
5536,108,49.69,-0.0265,0.0421,8.38,12.25,11.37,0.0000
5552,98,6.25,-0.0278,0.0616,1.79,6.16,-22.62,0.0000
5568,92,9.62,-0.0316,0.0535,24.25,18.25,32.75,0.0000
5584,103,41.45,-0.0382,0.0413,12.06,11.31,20.94,0.0000
5600,100,-23.68,-0.0295,0.0706,10.00,10.94,8.40,0.0000
5616,117,12.91,-0.0337,0.0526,16.50,8.12,16.29,0.0000
5632,90,36.63,-0.0297,0.0426,14.38,10.38,16.32,0.0000
5648,95,-15.61,-0.0418,0.0591,10.38,16.75,-13.64,0.0000
